Execution Time: 8454.1ms
	Jeff Goldblum, depth=0, num children=36
		Chain of Fools, depth=1, num children=21
				Peter Kelamis, depth=2, num children=0
				James Bamford, depth=2, num children=0
				John Cassini, depth=2, num children=0
				Michael Kopsa, depth=2, num children=0
				Sluggo Boyce, depth=2, num children=0
				Craig Ferguson, depth=2, num children=0
				Salma Hayek, depth=2, num children=0
				Tom Wilkinson, depth=2, num children=0
				Jonathon Young, depth=2, num children=0
				Dmitry Chepovetsky, depth=2, num children=0
				Michael Rapaport, depth=2, num children=0
				David Cross, depth=2, num children=0
				David Hyde Pierce, depth=2, num children=0
				Elijah Wood, depth=2, num children=0
				Lara Flynn Boyle, depth=2, num children=0
				Steve Zahn, depth=2, num children=0
				Orlando Jones, depth=2, num children=0
				Mike Dopud, depth=2, num children=0
				Kevin Corrigan, depth=2, num children=0
				Bill Dow, depth=2, num children=0
				Myndy Crist, depth=2, num children=0
		Welcome to Hollywood, depth=1, num children=46
				Will Smith, depth=2, num children=0
				Sandra Bullock, depth=2, num children=0
				Nicolas Cage, depth=2, num children=0
				Cameron Diaz, depth=2, num children=0
				Julianne Moore, depth=2, num children=0
				John Travolta, depth=2, num children=0
				Dennis Hopper, depth=2, num children=0
				Ron Howard, depth=2, num children=0
				Salma Hayek, depth=2, num children=0
				Cuba Gooding Jr., depth=2, num children=0
				Ewan McGregor, depth=2, num children=0
				Carmen Electra, depth=2, num children=0
				Anthony Minghella, depth=2, num children=0
				Matthew McConaughey, depth=2, num children=0
				Peter Facinelli, depth=2, num children=0
				Laurence Fishburne, depth=2, num children=0
				Woody Harrelson, depth=2, num children=0
				David Hasselhoff, depth=2, num children=0
				Peter Fonda, depth=2, num children=0
				Mira Sorvino, depth=2, num children=0
				Roger Ebert, depth=2, num children=0
				Wes Craven, depth=2, num children=0
				Jada Pinkett Smith, depth=2, num children=0
				Ally Walker, depth=2, num children=0
				Kelly Preston, depth=2, num children=0
				Cathy Moriarty, depth=2, num children=0
				Monet Mazur, depth=2, num children=0
				Lucinda Jenney, depth=2, num children=0
				Joel Schumacher, depth=2, num children=0
				John Waters, depth=2, num children=0
				Mike Leigh, depth=2, num children=0
				Cameron Crowe, depth=2, num children=0
				Adam Rifkin, depth=2, num children=0
				Tom Arnold, depth=2, num children=0
				Glenn Close, depth=2, num children=0
				Steve Schirripa, depth=2, num children=0
				Angie Everhart, depth=2, num children=0
				Yvonne Sciò, depth=2, num children=0
				Kelly Monaco, depth=2, num children=0
				Scott Wolf, depth=2, num children=0
				Irwin Winkler, depth=2, num children=0
				Robert Wuhl, depth=2, num children=0
				Halle Berry, depth=2, num children=0
				Frankie Thorn, depth=2, num children=0
				Ron Shelton, depth=2, num children=0
				Allison Anders, depth=2, num children=0
		One of the Hollywood Ten, depth=1, num children=16
				Danny Kaye, depth=2, num children=0
				Greta Scacchi, depth=2, num children=0
				Sean Chapman, depth=2, num children=0
				Larry Lamb, depth=2, num children=0
				Shane Rimmer, depth=2, num children=0
				John Sessions, depth=2, num children=0
				Peter Bowles, depth=2, num children=0
				Sorcha Cusack, depth=2, num children=0
				Antonio Valero, depth=2, num children=0
				Christopher Fulford, depth=2, num children=0
				Geraint Wyn Davies, depth=2, num children=0
				Enrique Arce, depth=2, num children=0
				Owen Brenman, depth=2, num children=0
				Adolf Hitler, depth=2, num children=0
				Ángela Molina, depth=2, num children=0
				Nicholas Woodeson, depth=2, num children=0
		Auggie Rose, depth=1, num children=2
				Anne Heche, depth=2, num children=0
				Timothy Olyphant, depth=2, num children=0
		Cats & Dogs, depth=1, num children=18
				Charlton Heston, depth=2, num children=0
				Chris O'Donnell, depth=2, num children=0
				Susan Sarandon, depth=2, num children=0
				Tobey Maguire, depth=2, num children=0
				Alec Baldwin, depth=2, num children=0
				Sean Hayes, depth=2, num children=0
				Elizabeth Perkins, depth=2, num children=0
				Miriam Margolyes, depth=2, num children=0
				Jon Lovitz, depth=2, num children=0
				Joe Pantoliano, depth=2, num children=0
				Michael Clarke Duncan, depth=2, num children=0
				Billy West, depth=2, num children=0
				Jack McBrayer, depth=2, num children=0
				Paul Pape, depth=2, num children=0
				Alexander Pollock, depth=2, num children=0
				Glenn Ficarra, depth=2, num children=0
				Carol Ann Susi, depth=2, num children=0
				Salome Jens, depth=2, num children=0
		Perfume, depth=1, num children=31
				Lee Tergesen, depth=2, num children=0
				Amber Valletta, depth=2, num children=0
				Michelle Williams, depth=2, num children=0
				Carmen Electra, depth=2, num children=0
				Kyle MacLachlan, depth=2, num children=0
				Leslie Mann, depth=2, num children=0
				Michelle Monaghan, depth=2, num children=0
				Morena Baccarin, depth=2, num children=0
				Lucy Gordon, depth=2, num children=0
				Mariel Hemingway, depth=2, num children=0
				Rita Wilson, depth=2, num children=0
				Estella Warren, depth=2, num children=0
				Sônia Braga, depth=2, num children=0
				Michelle Forbes, depth=2, num children=0
				Angela Bettis, depth=2, num children=0
				Mariska Hargitay, depth=2, num children=0
				Gaby Hoffmann, depth=2, num children=0
				Omar Epps, depth=2, num children=0
				Peter Gallagher, depth=2, num children=0
				Coolio, depth=2, num children=0
				Jared Harris, depth=2, num children=0
				Chris Sarandon, depth=2, num children=0
				Sonja Sohn, depth=2, num children=0
				Paul Sorvino, depth=2, num children=0
				Griffin Dunne, depth=2, num children=0
				Andre Royo, depth=2, num children=0
				Harry Hamlin, depth=2, num children=0
				Robert Joy, depth=2, num children=0
				Harris Yulin, depth=2, num children=0
				Marianne Hagan, depth=2, num children=0
				Hunter Carson, depth=2, num children=0
		Festival in Cannes, depth=1, num children=9
				William Shatner, depth=2, num children=0
				Holly Hunter, depth=2, num children=0
				Maximilian Schell, depth=2, num children=0
				Peter Bogdanovich, depth=2, num children=0
				Faye Dunaway, depth=2, num children=0
				Anouk Aimée, depth=2, num children=0
				Greta Scacchi, depth=2, num children=0
				Ron Silver, depth=2, num children=0
				Zack Norman, depth=2, num children=0
		Igby Goes Down, depth=1, num children=17
				Gregory Itzin, depth=2, num children=0
				Amanda Peet, depth=2, num children=0
				Susan Sarandon, depth=2, num children=0
				Cynthia Nixon, depth=2, num children=0
				Ryan Phillippe, depth=2, num children=0
				Celia Weston, depth=2, num children=0
				Kieran Culkin, depth=2, num children=0
				Bill Pullman, depth=2, num children=0
				Eric Bogosian, depth=2, num children=0
				Jared Harris, depth=2, num children=0
				Rory Culkin, depth=2, num children=0
				Bill Irwin, depth=2, num children=0
				Claire Danes, depth=2, num children=0
				Glenn Fitzgerald, depth=2, num children=0
				Nick Wyman, depth=2, num children=0
				Jim Gaffigan, depth=2, num children=0
				Reg Rogers, depth=2, num children=0
		Dallas 362, depth=1, num children=10
				James Caan, depth=2, num children=0
				Isla Fisher, depth=2, num children=0
				Marley Shelton, depth=2, num children=0
				Kelly Lynch, depth=2, num children=0
				Selma Blair, depth=2, num children=0
